step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
250,0.77,0.7703081725185384,0.95,0.9498746867167919,631,830,0.7602409638554217,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.78), np.float32(0.84), np.float32(0.9), np.float32(0.56)]","[0.2950091063976288, 0.2856321930885315, 0.26264268159866333, 0.15671589970588684]","[1.0, 0.9682148098945618, 0.8902866840362549, 0.5312239527702332]","[243, 160, 225, 202]","[176, 101, 216, 138]","[0.7242798209190369, 0.6312500238418579, 0.9599999785423279, 0.6831682920455933]","[1148, 809, 1220, 1056]","[846, 539, 1173, 721]","[0.7369338274002075, 0.6662546396255493, 0.9614754319190979, 0.6827651262283325]"
275,0.775,0.7757969716545298,0.95,0.9498746867167919,660,890,0.7415730337078652,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.8), np.float32(0.9), np.float32(0.6)]","[0.2582998275756836, 0.20463474094867706, 0.31182950735092163, 0.2252357006072998]","[0.8283367156982422, 0.6562392115592957, 1.0, 0.7223039865493774]","[246, 206, 221, 217]","[174, 135, 212, 139]","[0.707317054271698, 0.655339777469635, 0.959276020526886, 0.6405529975891113]","[1394, 1015, 1441, 1273]","[1020, 674, 1385, 860]","[0.7317073345184326, 0.6640394330024719, 0.9611380696296692, 0.6755695343017578]"
300,0.745,0.7446023929539636,0.95,0.9498746867167919,673,896,0.7511160714285714,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.78), np.float32(0.82), np.float32(0.88), np.float32(0.5)]","[0.24638976156711578, 0.2806010842323303, 0.1911063939332962, 0.2819025218486786]","[0.8740246891975403, 0.9953833818435669, 0.6779165863990784, 1.0]","[249, 215, 216, 216]","[182, 146, 207, 138]","[0.7309237122535706, 0.6790697574615479, 0.9583333134651184, 0.6388888955116272]","[1643, 1230, 1657, 1489]","[1202, 820, 1592, 998]","[0.7315885424613953, 0.6666666865348816, 0.9607724547386169, 0.6702485084533691]"
325,0.76,0.7593648144115539,0.95,0.9498746867167919,675,891,0.7575757575757576,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.78), np.float32(0.84), np.float32(0.9), np.float32(0.52)]","[0.2795749008655548, 0.3424346446990967, 0.2097984105348587, 0.1681918054819107]","[0.8164328932762146, 1.0, 0.6126670241355896, 0.4911646842956543]","[241, 220, 225, 205]","[172, 142, 218, 143]","[0.7136929631233215, 0.6454545259475708, 0.9688888788223267, 0.6975609660148621]","[1884, 1450, 1882, 1694]","[1374, 962, 1810, 1141]","[0.7292993664741516, 0.6634482741355896, 0.9617428183555603, 0.6735537052154541]"
350,0.765,0.7629980653877713,0.95,0.9498746867167919,693,929,0.7459634015069968,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.82), np.float32(0.84), np.float32(0.9), np.float32(0.5)]","[0.2842523157596588, 0.19327431917190552, 0.2608333230018616, 0.2616397738456726]","[1.0, 0.6799392700195312, 0.9176119565963745, 0.9204490780830383]","[250, 232, 226, 221]","[184, 147, 217, 145]","[0.7360000014305115, 0.6336206793785095, 0.9601770043373108, 0.6561086177825928]","[2134, 1682, 2108, 1915]","[1558, 1109, 2027, 1286]","[0.7300843596458435, 0.659334123134613, 0.9615749716758728, 0.6715404987335205]"
375,0.76,0.7585088529419957,0.95,0.9498746867167919,698,953,0.7324239244491081,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.82), np.float32(0.9), np.float32(0.52)]","[0.15718048810958862, 0.30734407901763916, 0.16149412095546722, 0.3739810287952423]","[0.4202899932861328, 0.8218172788619995, 0.43182435631752014, 1.0]","[252, 250, 227, 224]","[180, 153, 219, 146]","[0.7142857313156128, 0.6119999885559082, 0.9647576808929443, 0.6517857313156128]","[2386, 1932, 2335, 2139]","[1738, 1262, 2246, 1432]","[0.7284157872200012, 0.6532090902328491, 0.9618843793869019, 0.6694717407226562]"
400,0.745,0.7442971282572493,0.95,0.9498746867167919,724,980,0.7387755102040816,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.78), np.float32(0.78), np.float32(0.9), np.float32(0.52)]","[0.17620354890823364, 0.45802587270736694, 0.18551252782344818, 0.1802578866481781]","[0.3847021758556366, 1.0, 0.40502631664276123, 0.3935539424419403]","[245, 279, 237, 219]","[176, 177, 228, 143]","[0.718367338180542, 0.6344085931777954, 0.9620253443717957, 0.6529680490493774]","[2631, 2211, 2572, 2358]","[1914, 1439, 2474, 1575]","[0.7274800539016724, 0.650836706161499, 0.9618973731994629, 0.6679389476776123]"
425,0.755,0.7508201368625456,0.95,0.9498746867167919,726,996,0.7289156626506024,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.8), np.float32(0.92), np.float32(0.5)]","[0.22784903645515442, 0.2718403935432434, 0.3126102387905121, 0.18770012259483337]","[0.7288597822189331, 0.86958247423172, 1.0, 0.600428581237793]","[263, 262, 237, 234]","[187, 158, 229, 152]","[0.7110266089439392, 0.6030534505844116, 0.9662446975708008, 0.6495726704597473]","[2894, 2473, 2809, 2592]","[2101, 1597, 2703, 1727]","[0.7259848117828369, 0.6457743644714355, 0.9622641801834106, 0.6662808656692505]"
record_time,best_step,test_acc,test_f1,device_idx,dataset,n_labeled_per_class,bs,ul_ratio,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,seed
20250723-080034,175,0.825,0.8246710057484916,0,uit-vsfc,10,4,10,1e-05,1,0.98,True,2,True,True,0.9,False,0.9,25,10,100000,0
